วันที่,เลขที่ใบเสร็จ,ประเภทใบเสร็จ,ประเภท,รหัสSKUสินค้า,รายการ,ตัวแปร,ปรับเปลี่ยนการใช้งาน,จำนวน,ยอดขายรวม,ส่วนลด,ยอดขายสุทธิ,ต้นทุนของสินค้า,กำไรรวม,ภาษี,ระบบขายหน้าร้าน,ร้านค้า,ชื่อแคชเชียร์,ชื่อลูกค้า,รายชื่อติดต่อลูกค้า,ความคิดเห็น,สถานะ
19/10/20 23:32,1-7968,ลดราคา,ผักใบ,10079,ชายา,,,0.300,36.00,9.89,26.11,0.00,26.11,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 23:32,1-7968,ลดราคา,ผักใบ,10103,ผักปลัง,,,1.000,120.00,32.98,87.02,0.00,87.02,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 23:32,1-7968,ลดราคา,ผักใบ,10102,ผักบุ้งจีน,,,0.100,12.00,3.30,8.70,0.00,8.70,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 23:32,1-7968,ลดราคา,ผักใบ,10165,ใบมะกรูด,,,0.100,12.00,3.30,8.70,0.00,8.70,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 23:32,1-7968,ลดราคา,ผักผล,10149,หอมใหญ่,,,0.100,12.00,3.29,8.71,0.00,8.71,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 23:32,1-7968,ลดราคา,ของแห้ง,10173,ไข่ไก่,,,10.000,70.00,19.24,50.76,0.00,50.76,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:41,1-7967,ลดราคา,ของกิน,10227,ถั่วกรอบแก้ว,,,2.000,70.00,0.00,70.00,0.00,70.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ข้าวสาร,PD00002-1,ข้าวกล้อง 1 กก,,,2.000,110.00,0.00,110.00,0.00,110.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ข้าวสาร,PD00004-1,ข้าวกล้อง 2 กก,,,1.000,110.00,0.00,110.00,0.00,110.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ข้าวสาร,PD00005-1,ข้าวหอมมะลิ 1 กก,,,2.000,130.00,0.00,130.00,0.00,130.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของกิน,PD00056-1,ถั่วลิสง 0.5 กก,,,1.000,60.00,0.00,60.00,0.00,60.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของกิน,PD00097-1,ถั่วคั่วทราย,,,2.000,90.00,0.00,90.00,0.00,90.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของกิน,pd000231,กล้วยไส้มะขาม,,,3.000,165.00,0.00,165.00,75.00,90.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของใช้,10060,น้ำมันมะพร้าวมาติ ขวดแก้ว ไซส์เล็ก,,,3.000,360.00,0.00,360.00,0.00,360.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของใช้,PD00033-1,น้ำมันเขียว,,,2.000,190.00,0.00,190.00,0.00,190.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของใช้,PD00039-1,สบู่ข้าว,,,1.000,60.00,0.00,60.00,0.00,60.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของใช้,PD00037-1,สบู่ถ่าน,,,1.000,60.00,0.00,60.00,0.00,60.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของใช้,PD00041-1,สบู่เหลวน้ำผึ้ง&น้ำนมข้าว,,,3.000,420.00,0.00,420.00,0.00,420.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของใช้,10050,สบู่เหลวขมิ้น,,,1.000,100.00,0.00,100.00,0.00,100.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของใช้,PD00066-1,แชมพูมะกรูดมีฟอง,,,3.000,345.00,0.00,345.00,0.00,345.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของใช้,PD00042-1,แชมพูมะกรูดไม่มีฟอง,,,1.000,115.00,0.00,115.00,0.00,115.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของใช้,PD00088-1,แชมพูครีมนวดย่านาง,,,1.000,155.00,0.00,155.00,0.00,155.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของใช้,PD00043-1,แชมพูครีมนวดน้ำนมข้าว,,,4.000,700.00,0.00,700.00,0.00,700.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของใช้,10041,ยาสีฟันผง,,,2.000,230.00,0.00,230.00,0.00,230.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของใช้,PD00087-1,ชุดดูแลช่องปากพกพา,,,1.000,85.00,0.00,85.00,0.00,85.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของใช้,10039,ผงล้างผัก,,,1.000,60.00,0.00,60.00,0.00,60.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของกิน,10015,น้ำมะปี๊ดผสมน้ำผึ้ง,,,1.000,70.00,0.00,70.00,0.00,70.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของกิน,PD00074-1,น้ำพริกเผา,,,1.000,70.00,0.00,70.00,0.00,70.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 22:38,1-7966,ลดราคา,ของใช้,PD00035-1,สเปรย์กันยุง สันป่าตอง,,,2.000,150.00,0.00,150.00,0.00,150.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 20:27,1-7965,ลดราคา,ของแห้ง,10173,ไข่ไก่,,,3.000,21.00,21.00,0.00,0.00,0.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 20:24,1-7964,ลดราคา,ข้าวสาร,PD00003-1,ข้าวกล้อง 5 กก,,,2.000,530.00,0.00,530.00,0.00,530.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 20:24,1-7964,ลดราคา,ข้าวสาร,PD00011-1,ข้าวหอมมะลิ 5 กก,,,1.000,300.00,0.00,300.00,0.00,300.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 20:23,1-7963,ลดราคา,ข้าวสาร,PD00005-1,ข้าวหอมมะลิ 1 กก,,,2.000,130.00,0.00,130.00,0.00,130.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 20:23,1-7963,ลดราคา,ข้าวสาร,PD00002-1,ข้าวกล้อง 1 กก,,,1.000,55.00,0.00,55.00,0.00,55.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 20:23,1-7962,ลดราคา,ของกิน,pd000231,กล้วยไส้มะขาม,,,2.000,110.00,0.00,110.00,50.00,60.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 20:23,1-7962,ลดราคา,ของกิน,PD00097-1,ถั่วคั่วทราย,,,1.000,45.00,0.00,45.00,0.00,45.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 20:21,1-7961,ลดราคา,ของกิน,10038,กุนเชียงปลา,,,4.000,580.00,0.00,580.00,0.00,580.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 20:21,1-7960,ลดราคา,ของกิน,10038,กุนเชียงปลา,,,3.000,435.00,0.00,435.00,0.00,435.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:36,1-7959,ลดราคา,ผักใบ,10102,ผักบุ้งจีน,,,0.100,12.00,0.00,12.00,0.00,12.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:36,1-7959,ลดราคา,ผักผล,10149,หอมใหญ่,,,0.200,24.00,0.00,24.00,0.00,24.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:23,1-7958,ลดราคา,ผักใบ,10103,ผักปลัง,,,0.200,24.00,0.76,23.24,0.00,23.24,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:23,1-7958,ลดราคา,ผักผล,10111,พริกขี้หนู  ถุงละ,,,1.000,12.00,0.38,11.62,0.00,11.62,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:23,1-7958,ลดราคา,ผลไม้,10159,แตงไทย,,,1.500,90.00,2.86,87.14,0.00,87.14,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:19,1-7957,ลดราคา,ผักผล,10008,กระเทียม,,,0.500,110.00,4.01,105.99,0.00,105.99,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:19,1-7957,ลดราคา,ผักผล,10149,หอมใหญ่,,,0.370,44.40,1.62,42.78,0.00,42.78,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:19,1-7957,ลดราคา,ของแห้ง,10173,ไข่ไก่,,,10.000,70.00,2.55,67.45,0.00,67.45,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:19,1-7957,ลดราคา,ผลไม้,10170,กล้วยน้ำว้า,,,1.000,50.00,1.82,48.18,0.00,48.18,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:12,1-7956,ลดราคา,ผลไม้,10109,ฝรั่ง,,,0.500,30.00,0.00,30.00,0.00,30.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:09,1-7955,ลดราคา,ผักใบ,10103,ผักปลัง,,,0.400,48.00,0.00,48.00,0.00,48.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:07,1-7954,ลดราคา,ผักผล,10073,ข้าวโพดหวาน,,,0.500,30.00,0.00,30.00,0.00,30.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:07,1-7953,ลดราคา,ผลไม้,10171,กล้วยหอมทอง,,,1.000,80.00,10.00,70.00,0.00,70.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:58,1-7952,ลดราคา,ผักผล,10111,พริกขี้หนู  ถุงละ,,,1.000,12.00,0.00,12.00,0.00,12.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:53,1-7951,ลดราคา,ผักใบ,10076,จิงจูฉ่าย   กำละ,,,1.000,24.00,0.00,24.00,0.00,24.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:53,1-7951,ลดราคา,ผักใบ,10103,ผักปลัง,,,0.200,24.00,0.00,24.00,0.00,24.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:46,1-7950,ลดราคา,ผักใบ,10103,ผักปลัง,,,0.300,36.00,0.00,36.00,0.00,36.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:42,1-7949,ลดราคา,ผักใบ,10082,ตะไคร้,,,0.200,12.00,0.00,12.00,0.00,12.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:42,1-7949,ลดราคา,ผักใบ,10103,ผักปลัง,,,0.300,36.00,0.00,36.00,0.00,36.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:41,1-7948,ลดราคา,ผลไม้,10109,ฝรั่ง,,,0.720,43.20,0.00,43.20,0.00,43.20,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:41,1-7948,ลดราคา,ผักผล,10008,กระเทียม,,,0.420,92.40,0.00,92.40,0.00,92.40,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:41,1-7948,ลดราคา,ผลไม้,10157,แคนตาลูป,,,0.900,63.00,0.00,63.00,0.00,63.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:39,1-7947,ลดราคา,ผลไม้,10157,แคนตาลูป,,,1.280,89.60,0.00,89.60,0.00,89.60,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:39,1-7947,ลดราคา,ผักผล,10073,ข้าวโพดหวาน,,,0.790,47.40,0.00,47.40,0.00,47.40,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:39,1-7947,ลดราคา,ผักผล,10111,พริกขี้หนู  ถุงละ,,,2.000,24.00,0.00,24.00,0.00,24.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:26,1-7946,ลดราคา,ผลไม้,10157,แคนตาลูป,,,1.280,89.60,0.00,89.60,0.00,89.60,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:20,1-7945,ลดราคา,ผลไม้,10157,แคนตาลูป,,,1.200,84.00,0.00,84.00,0.00,84.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:20,1-7945,ลดราคา,ผลไม้,10109,ฝรั่ง,,,0.840,50.40,0.00,50.40,0.00,50.40,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:19,1-7944,ลดราคา,ผลไม้,10157,แคนตาลูป,,,1.000,70.00,0.00,70.00,0.00,70.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
